Complexity	Model	Value	Type
2_modality	ClinicalMethylomics	0.527220133667502	AUPRC
2_modality	ClinicalMethylomics	0.640462114453536	Weighted LogLoss
3_modality	ClinicalMethylomicsTranscriptomics	0.767195767195767	AUROC
3_modality	ClinicalMethylomicsTranscriptomics	0.527220133667502	AUPRC
3_modality	ClinicalMethylomicsTranscriptomics	0.647245357466828	Weighted LogLoss
4_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetb	0.777777777777778	AUROC
4_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetb	0.527220133667502	AUPRC
4_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetb	0.655164266846195	Weighted LogLoss
5_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbMetabolomicsBioc	0.783068783068783	AUROC
5_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbMetabolomicsBioc	0.527220133667502	AUPRC
5_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbMetabolomicsBioc	0.647856928366033	Weighted LogLoss
6_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbMetabolomicsBiocOlink	0.783068783068783	AUROC
6_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbMetabolomicsBiocOlink	0.527220133667502	AUPRC
6_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbMetabolomicsBiocOlink	0.653142468842262	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.756613756613757	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.489637030587984	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.641174713823555	Weighted LogLoss
1_modality	Clinical	0.841269841269841	AUROC
1_modality	Clinical	0.479372492586778	AUPRC
1_modality	Clinical	0.580563244583758	Weighted LogLoss
2_modality	ClinicalProteomics	0.835978835978836	AUROC
2_modality	ClinicalProteomics	0.539689037670404	AUPRC
2_modality	ClinicalProteomics	0.560075224609696	Weighted LogLoss
3_modality	ClinicalProteomicsOlink	0.835978835978836	AUROC
3_modality	ClinicalProteomicsOlink	0.517698166223011	AUPRC
3_modality	ClinicalProteomicsOlink	0.551548428764248	Weighted LogLoss
4_modality	ClinicalTranscriptomicsProteomicsOlink	0.835978835978836	AUROC
4_modality	ClinicalTranscriptomicsProteomicsOlink	0.511809723889556	AUPRC
4_modality	ClinicalTranscriptomicsProteomicsOlink	0.553379168070183	Weighted LogLoss
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsOlink	0.8125	AUROC
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsOlink	0.528690175565176	AUPRC
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsOlink	0.584469662393754	Weighted LogLoss
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbOlink	0.830687830687831	AUROC
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbOlink	0.477434178799725	AUPRC
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbOlink	0.617446980726214	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.82967032967033	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.435031436817151	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.610681604688729	Weighted LogLoss
1_modality	Clinical	0.791208791208791	AUROC
1_modality	Clinical	0.493530468841028	AUPRC
1_modality	Clinical	0.639751489066647	Weighted LogLoss
2_modality	ClinicalOlink	0.818681318681319	AUROC
2_modality	ClinicalOlink	0.514686460882113	AUPRC
2_modality	ClinicalOlink	0.621318828133491	Weighted LogLoss
3_modality	ClinicalTranscriptomicsOlink	0.807692307692308	AUROC
3_modality	ClinicalTranscriptomicsOlink	0.493530468841028	AUPRC
3_modality	ClinicalTranscriptomicsOlink	0.616976324966966	Weighted LogLoss
4_modality	ClinicalTranscriptomicsMetabolomicsBiocOlink	0.807692307692308	AUROC
4_modality	ClinicalTranscriptomicsMetabolomicsBiocOlink	0.493530468841028	AUPRC
4_modality	ClinicalTranscriptomicsMetabolomicsBiocOlink	0.636038025942149	Weighted LogLoss
5_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsBiocOlink	0.791208791208791	AUROC
5_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsBiocOlink	0.493530468841028	AUPRC
5_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsBiocOlink	0.626591744044896	Weighted LogLoss
6_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbMetabolomicsBiocOlink	0.751322751322751	AUROC
6_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbMetabolomicsBiocOlink	0.493530468841028	AUPRC
6_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbMetabolomicsBiocOlink	0.660980133070355	Weighted LogLoss
